gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
2,18,0.7156143188476562,0.5881472826004028,0.4234851598739624,0.5796377658843994,0.6359180808067322,0.5297361612319946,4.4,4.2,3.6,4.5,3.4
2,29,0.6937549710273743,0.7978391647338867,0.43288350105285645,0.5382633209228516,0.3569757640361786,0.4040706753730774,3.9,3.4,4.5,4.5,2.1
1,19,0.5122295022010803,0.417751669883728,0.44015204906463623,0.4204493761062622,0.4859458804130554,0.38713544607162476,3.5,3.8,4.5,4.5,4.0
2,39,0.7012351751327515,0.8299875855445862,0.4587896466255188,0.5128065943717957,0.5279699563980103,0.3768460154533386,4.4,4.6,3.8,4.2,3.2
1,33,0.78171706199646,0.6833077669143677,0.5719364881515503,0.493338406085968,0.3700317144393921,0.4370022416114807,3.6,4.2,4.7,4.3,4.4
2,48,0.34211793541908264,0.6985763311386108,0.48508739471435547,0.47111618518829346,0.42346689105033875,0.5141056776046753,2.8,3.6,3.3,4.3,3.7
1,21,0.34610798954963684,0.7430214285850525,0.4578803777694702,0.5007932186126709,0.4226601719856262,0.4064011573791504,3.3,2.8,2.9,3.6,2.9
2,19,0.6293063163757324,0.812751293182373,0.5426891446113586,0.5677285194396973,0.7878621220588684,0.3768460154533386,4.0,2.4,3.9,4.4,3.0
2,18,0.3138514757156372,0.4970564544200897,0.35861194133758545,0.3864106237888336,0.5371571779251099,0.4706391990184784,3.0,3.0,3.0,3.0,3.0
1,44,0.6915572285652161,0.7524044513702393,0.47822099924087524,0.6703099012374878,0.48315000534057617,0.46224403381347656,2.1,1.0,3.7,2.3,2.4
2,32,0.7635686993598938,0.7432252168655396,0.42660802602767944,0.530415415763855,0.41265130043029785,0.41083115339279175,2.4,3.7,4.9,4.7,2.5
1,20,0.23062464594841003,0.26748523116111755,0.3395935297012329,0.35114210844039917,0.501263439655304,0.5093583464622498,1.3,2.0,4.9,4.1,1.7
2,23,0.24624496698379517,0.7350258827209473,0.2788146734237671,0.308490514755249,0.5180804133415222,0.47432219982147217,3.3,1.8,4.2,3.4,3.5
1,52,0.41538137197494507,0.6994640827178955,0.30720484256744385,0.6438513994216919,0.29856225848197937,0.3233985900878906,3.4,4.3,3.5,3.7,4.3
1,52,0.28195539116859436,0.2558820843696594,0.4166214168071747,0.3303046226501465,0.5216321349143982,0.4320225715637207,3.7,2.6,4.8,4.8,3.3
1,27,0.616401195526123,0.45234864950180054,0.43543678522109985,0.44218766689300537,0.35521751642227173,0.8267035484313965,2.7,4.2,5.0,4.1,3.7
2,31,0.37356066703796387,0.35809195041656494,0.4430971145629883,0.41070377826690674,0.7292006611824036,0.4964727759361267,2.5,1.9,2.4,4.1,2.8
1,26,0.5101281404495239,0.5737392902374268,0.8448925614356995,0.8423007726669312,0.5871260166168213,0.515730619430542,2.6,3.6,4.7,2.4,3.2
1,34,0.351169615983963,0.46780428290367126,0.32852572202682495,0.3530491590499878,0.45597732067108154,0.5234355926513672,1.8,3.1,4.2,2.3,3.0
1,39,0.7256176471710205,0.4775702953338623,0.33574485778808594,0.4925863742828369,0.6664926409721375,0.4775424897670746,3.4,3.9,5.0,2.6,3.2
2,45,0.5131130218505859,0.4879899322986603,0.3543456196784973,0.22563746571540833,0.4991036057472229,0.27121084928512573,2.3,3.0,4.0,4.6,4.1
1,42,0.6049084663391113,0.49300751090049744,0.3014792203903198,0.39189422130584717,0.5515748858451843,0.49136048555374146,2.6,3.5,3.5,4.0,3.8
2,46,0.4030398726463318,0.7707345485687256,0.32931390404701233,0.4176340103149414,0.6395643353462219,0.4954959452152252,2.5,3.8,3.6,3.0,3.4
2,47,0.4740521311759949,0.4948280453681946,0.4587896466255188,0.44383978843688965,0.7314581871032715,0.4954959452152252,3.8,3.6,3.2,4.6,4.2
1,31,0.33225512504577637,0.5248129367828369,0.4990595281124115,0.3451991677284241,0.44955509901046753,0.5388301610946655,4.7,4.7,4.3,4.6,4.0
2,20,0.37356066703796387,0.5118829011917114,0.2820955812931061,0.36912307143211365,0.5279699563980103,0.6890981197357178,3.4,2.0,3.1,3.4,3.6
2,56,0.7156143188476562,0.7492981553077698,0.5426891446113586,0.5701615810394287,0.7794417142868042,0.5269925594329834,3.1,4.0,4.7,5.0,3.1
1,41,0.39207756519317627,0.5881472826004028,0.4265785813331604,0.3158062994480133,0.6275123953819275,0.4529537260532379,4.8,4.5,4.5,4.7,4.3
2,19,0.42458274960517883,0.47571006417274475,0.46201199293136597,0.44139015674591064,0.3694458603858948,0.3768460154533386,3.0,2.4,3.6,3.4,3.4
1,55,0.41538137197494507,0.7183965444564819,0.34107232093811035,0.5144453048706055,0.5017737746238708,0.3559803366661072,2.7,2.2,3.1,2.5,4.5
1,24,0.27511143684387207,0.5851550698280334,0.3605857491493225,0.5123187899589539,0.413108229637146,0.6046226024627686,4.8,3.1,5.0,4.9,3.4
2,23,0.654364824295044,0.4435610771179199,0.47822290658950806,0.5258793234825134,0.5171822905540466,0.19912834465503693,2.9,2.0,3.8,3.7,4.2
